CMDLINE /usr/bin/python3 MemoryLeakTests.py
MEM 0.003906 1687041864.5177
MEM 17.230469 1687041864.6183
MEM 84.867188 1687041864.7189
MEM 165.359375 1687041864.8195
MEM 173.652344 1687041864.9201
MEM 176.363281 1687041865.0206
MEM 182.535156 1687041865.1212
MEM 186.804688 1687041865.2218
MEM 187.492188 1687041865.3223
MEM 189.675781 1687041865.4228
MEM 193.328125 1687041865.5234
MEM 196.429688 1687041865.6240
MEM 199.394531 1687041865.7246
MEM 201.722656 1687041865.8251
MEM 205.136719 1687041865.9257
MEM 211.367188 1687041866.0263
MEM 215.117188 1687041866.1269
MEM 217.687500 1687041866.2275
MEM 222.292969 1687041866.3281
MEM 223.781250 1687041866.4288
MEM 226.605469 1687041866.5294
MEM 229.082031 1687041866.6300
MEM 233.187500 1687041866.7306
MEM 236.039062 1687041866.8311
MEM 237.042969 1687041866.9317
MEM 238.453125 1687041867.0323
MEM 241.046875 1687041867.1329
MEM 243.058594 1687041867.2335
MEM 246.832031 1687041867.3340
MEM 249.406250 1687041867.4346
MEM 250.437500 1687041867.5352
MEM 252.949219 1687041867.6357
MEM 254.035156 1687041867.7364
MEM 256.339844 1687041867.8370
MEM 260.019531 1687041867.9376
MEM 263.902344 1687041868.0381
MEM 265.703125 1687041868.1387
MEM 268.843750 1687041868.2393
MEM 270.308594 1687041868.3398
MEM 272.144531 1687041868.4404
MEM 274.164062 1687041868.5409
MEM 276.878906 1687041868.6415
MEM 278.679688 1687041868.7420
MEM 280.476562 1687041868.8426
MEM 288.945312 1687041868.9432
MEM 290.957031 1687041869.0438
MEM 297.531250 1687041869.1442
MEM 300.808594 1687041869.2447
MEM 301.882812 1687041869.3454
MEM 303.128906 1687041869.4459
MEM 304.265625 1687041869.5465
MEM 306.859375 1687041869.6474
MEM 308.406250 1687041869.7480
MEM 311.902344 1687041869.8486
MEM 313.652344 1687041869.9491
MEM 314.894531 1687041870.0497
MEM 315.382812 1687041870.1502
MEM 318.507812 1687041870.2508
MEM 325.410156 1687041870.3514
MEM 325.906250 1687041870.4520
MEM 325.906250 1687041870.5525
MEM 326.500000 1687041870.6530
MEM 327.105469 1687041870.7536
MEM 327.535156 1687041870.8541
MEM 329.421875 1687041870.9547
MEM 330.273438 1687041871.0553
MEM 331.351562 1687041871.1559
MEM 331.589844 1687041871.2565
MEM 333.507812 1687041871.3571
MEM 336.746094 1687041871.4577
MEM 338.011719 1687041871.5583
MEM 339.902344 1687041871.6588
MEM 343.917969 1687041871.7594
MEM 349.234375 1687041871.8600
MEM 350.761719 1687041871.9606
MEM 352.957031 1687041872.0611
MEM 359.992188 1687041872.1617
MEM 362.304688 1687041872.2623
MEM 364.406250 1687041872.3629
MEM 366.128906 1687041872.4635
MEM 368.308594 1687041872.5640
MEM 368.875000 1687041872.6646
MEM 369.449219 1687041872.7651
MEM 370.468750 1687041872.8657
MEM 372.613281 1687041872.9662
MEM 373.480469 1687041873.0668
MEM 376.761719 1687041873.1674
MEM 377.398438 1687041873.2679
MEM 377.589844 1687041873.3684
MEM 379.492188 1687041873.4690
MEM 382.757812 1687041873.5696
MEM 385.628906 1687041873.6702
MEM 385.628906 1687041873.7708
MEM 386.863281 1687041873.8714
MEM 387.878906 1687041873.9719
MEM 389.910156 1687041874.0725
MEM 391.746094 1687041874.1730
MEM 414.722656 1687041874.2737
MEM 493.871094 1687041874.3743
MEM 546.816406 1687041874.4749
MEM 634.789062 1687041874.5756
MEM 720.847656 1687041874.6763
MEM 799.503906 1687041874.7770
MEM 880.054688 1687041874.8777
MEM 985.218750 1687041874.9783
MEM 1002.722656 1687041875.0790
MEM 1085.265625 1687041875.1797
MEM 1243.304688 1687041875.2804
MEM 1322.929688 1687041875.3810
MEM 1324.640625 1687041875.4816
MEM 1325.468750 1687041875.5822
MEM 1329.949219 1687041875.6829
MEM 1351.792969 1687041875.7835
MEM 1374.742188 1687041875.8842
MEM 1538.585938 1687041875.9849
MEM 1746.320312 1687041876.0856
MEM 1398.351562 1687041876.1862
MEM 1398.496094 1687041876.2867
MEM 1398.609375 1687041876.3873
MEM 1398.902344 1687041876.4878
MEM 1459.199219 1687041876.5885
MEM 1531.675781 1687041876.6892
MEM 1610.582031 1687041876.7898
MEM 1690.253906 1687041876.8905
MEM 1771.781250 1687041876.9912
MEM 1847.753906 1687041877.0919
MEM 1940.062500 1687041877.1926
MEM 2001.019531 1687041877.2932
MEM 2052.042969 1687041877.3938
MEM 2126.886719 1687041877.4945
MEM 2205.718750 1687041877.5952
MEM 2291.750000 1687041877.6958
MEM 2374.250000 1687041877.7965
MEM 2437.878906 1687041877.8972
MEM 2445.277344 1687041877.9979
MEM 2521.054688 1687041878.0985
MEM 2595.449219 1687041878.1992
MEM 2679.828125 1687041878.2999
MEM 2756.738281 1687041878.4005
MEM 2835.218750 1687041878.5012
MEM 2908.425781 1687041878.6019
MEM 2984.656250 1687041878.7026
MEM 2994.679688 1687041878.8032
