CMDLINE /usr/bin/python3 MemoryLeakTests.py
MEM 0.003906 1687043031.7406
MEM 16.964844 1687043031.8412
MEM 84.871094 1687043031.9419
MEM 134.878906 1687043032.0425
MEM 172.898438 1687043032.1434
MEM 175.851562 1687043032.2439
MEM 182.378906 1687043032.3444
MEM 186.988281 1687043032.4449
MEM 187.410156 1687043032.5454
MEM 192.914062 1687043032.6459
MEM 197.089844 1687043032.7464
MEM 200.281250 1687043032.8469
MEM 204.496094 1687043032.9474
MEM 212.347656 1687043033.0479
MEM 217.117188 1687043033.1484
MEM 223.207031 1687043033.2489
MEM 225.371094 1687043033.3495
MEM 228.792969 1687043033.4499
MEM 233.390625 1687043033.5504
MEM 236.125000 1687043033.6510
MEM 238.128906 1687043033.7515
MEM 241.496094 1687043033.8520
MEM 244.390625 1687043033.9525
MEM 249.582031 1687043034.0530
MEM 252.371094 1687043034.1535
MEM 254.632812 1687043034.2540
MEM 257.156250 1687043034.3545
MEM 260.378906 1687043034.4550
MEM 265.070312 1687043034.5555
MEM 268.609375 1687043034.6560
MEM 270.496094 1687043034.7565
MEM 272.792969 1687043034.8570
MEM 275.289062 1687043034.9575
MEM 278.218750 1687043035.0580
MEM 279.933594 1687043035.1585
MEM 289.484375 1687043035.2590
MEM 294.914062 1687043035.3597
MEM 299.781250 1687043035.4603
MEM 300.503906 1687043035.5608
MEM 303.078125 1687043035.6613
MEM 305.000000 1687043035.7617
MEM 307.937500 1687043035.8621
MEM 311.960938 1687043035.9626
MEM 313.902344 1687043036.0631
MEM 314.925781 1687043036.1636
MEM 318.050781 1687043036.2641
MEM 325.566406 1687043036.3646
MEM 325.566406 1687043036.4651
MEM 325.566406 1687043036.5657
MEM 326.675781 1687043036.6661
MEM 327.339844 1687043036.7666
MEM 328.886719 1687043036.8677
MEM 330.832031 1687043036.9682
MEM 331.085938 1687043037.0687
MEM 332.632812 1687043037.1692
MEM 335.257812 1687043037.2696
MEM 338.277344 1687043037.3701
MEM 341.027344 1687043037.4706
MEM 348.785156 1687043037.5711
MEM 351.070312 1687043037.6716
MEM 357.554688 1687043037.7721
MEM 361.398438 1687043037.8726
MEM 364.605469 1687043037.9731
MEM 366.683594 1687043038.0736
MEM 368.484375 1687043038.1741
MEM 369.160156 1687043038.2747
MEM 370.726562 1687043038.3752
MEM 372.890625 1687043038.4757
MEM 373.496094 1687043038.5762
MEM 376.886719 1687043038.6767
MEM 377.402344 1687043038.7772
MEM 378.820312 1687043038.8777
MEM 382.531250 1687043038.9782
MEM 385.332031 1687043039.0787
MEM 386.171875 1687043039.1792
MEM 387.398438 1687043039.2797
MEM 390.050781 1687043039.3802
MEM 396.746094 1687043039.4807
MEM 415.550781 1687043039.5812
MEM 498.562500 1687043039.6817
MEM 575.398438 1687043039.7822
MEM 690.988281 1687043039.8827
MEM 663.726562 1687043039.9833
MEM 743.710938 1687043040.0840
MEM 820.035156 1687043040.1846
MEM 891.890625 1687043040.2854
MEM 963.500000 1687043040.3861
MEM 1018.738281 1687043040.4867
MEM 1035.781250 1687043040.5875
MEM 1036.343750 1687043040.6882
MEM 1037.765625 1687043040.7889
MEM 1055.261719 1687043040.8896
MEM 1077.261719 1687043040.9903
MEM 1133.562500 1687043041.0909
MEM 1379.632812 1687043041.1916
MEM 1109.757812 1687043041.2922
MEM 1109.890625 1687043041.3928
MEM 1110.011719 1687043041.4935
MEM 1110.144531 1687043041.5942
MEM 1121.460938 1687043041.6948
MEM 1147.992188 1687043041.7955
MEM 1148.062500 1687043041.8962
MEM 1148.062500 1687043041.9970
MEM 1086.746094 1687043042.0977
MEM 1086.746094 1687043042.1984
MEM 0.000000 1687043042.2991
